Iteration_1 # 2 agents, 2 dimensions
rep = 8, x_best = [-0.00357936  0.00071697  0.01215075], f_best = 0.8273916674350055
rep = 9, x_best = [-0.2065368  -0.19278891  0.20203655], f_best = 4.073441836556729
rep = 10, x_best = [-0.21040488  0.00426964 -0.19268793], f_best = 3.4197834633428386
rep = 11, x_best = [0.18824524 0.20975992 0.01321443], f_best = 4.295083902957877
rep = 12, x_best = [ 0.19969653 -0.17126881  0.00593251], f_best = 4.941301795538269
rep = 13, x_best = [-0.20159306 -0.19698706  0.20339665], f_best = 3.721257945556218
rep = 14, x_best = [-0.01250402  0.18669955  0.19985744], f_best = 3.25122411551423
rep = 15, x_best = [ 0.17336723 -0.18783231  0.00780758], f_best = 4.706505658176905
rep = 16, x_best = [0.00567633 0.00776853 0.01791511], f_best = 2.103068953360733
rep = 17, x_best = [ 0.18739963 -0.00756496  0.20104942], f_best = 2.7684649178105047
rep = 18, x_best = [-0.18351674  0.00913614  0.02367371], f_best = 4.802476137445453
rep = 19, x_best = [-0.01568727 -0.01466521 -0.20680158], f_best = 4.147474094267906
rep = 20, x_best = [-0.01518277  0.20804311  0.00987905], f_best = 3.640240570877946
rep = 21, x_best = [ 0.00802894 -0.19854716  0.00205159], f_best = 1.4427802349936911
rep = 22, x_best = [ 0.01507637 -0.19754578 -0.20151649], f_best = 3.4710733190841587
rep = 23, x_best = [-0.18478454 -0.20159238  0.01522752], f_best = 3.9140130393804746
rep = 24, x_best = [0.19490132 0.20940453 0.01460873], f_best = 4.246017808278744
rep = 25, x_best = [-0.18092873 -0.00169638  0.02276699], f_best = 4.502651135683678
rep = 26, x_best = [-0.01560596 -0.19629191  0.00077844], f_best = 2.2585379430799435
rep = 27, x_best = [ 0.19327461 -0.18634026  0.18834718], f_best = 3.504571310241733
rep = 28, x_best = [0.20536805 0.2106     0.19237697], f_best = 4.986827933520058
rep = 29, x_best = [0.01629038 0.00114964 0.00549455], f_best = 1.5124860822328188
rep = 30, x_best = [-0.19617584  0.18171953  0.00882672], f_best = 3.221811883847522
Iteration_9
rep = 1, x_best = [-0.20585392  0.17114903 -0.19276948], f_best = 6.327973246370739
rep = 2, x_best = [ 0.00472966  0.17438157 -0.20482337], f_best = 4.66006647383977
rep = 3, x_best = [ 0.00512181 -0.17098823 -0.01751522], f_best = 5.365026642952845
rep = 4, x_best = [-0.17300066 -0.02060137  0.00312447], f_best = 5.430620402198471
rep = 5, x_best = [-0.19148057  0.18960185  0.03245665], f_best = 7.148733954316935
rep = 6, x_best = [-0.38269434 -0.19262817  0.20458708], f_best = 6.711919800078547
rep = 7, x_best = [-0.0265385   0.00162902 -0.17524765], f_best = 6.277588178666239
rep = 8, x_best = [ 0.02386696 -0.02952529  0.01499499], f_best = 8.1721141801534
rep = 9, x_best = [-0.0193225  -0.00186262 -0.16959991], f_best = 5.882798474288315
rep = 10, x_best = [-0.18544883 -0.00814326 -0.01618494], f_best = 3.0756884704508565
rep = 11, x_best = [-0.00684139 -0.17359868  0.0004682 ], f_best = 3.3757189918320165
rep = 12, x_best = [-0.2222266  -0.19778828 -0.00044574], f_best = 5.872708682685019
rep = 13, x_best = [ 0.00818511 -0.00209642 -0.16683454], f_best = 5.0100046877564814
rep = 14, x_best = [ 0.19230417 -0.18430995 -0.17952685], f_best = 4.6334617697357
rep = 15, x_best = [ 0.1902039   0.00951163 -0.39740358], f_best = 5.926839700484656
rep = 16, x_best = [ 0.18885325 -0.19094467  0.01218199], f_best = 2.966411654091278
rep = 17, x_best = [ 0.39246785 -0.01330275 -0.20928408], f_best = 7.103232992157086
rep = 18, x_best = [-0.01368845 -0.18201714  0.17519754], f_best = 5.554476782945834
rep = 19, x_best = [-0.00597022  0.17850086 -0.19204843], f_best = 3.469176318721228
rep = 20, x_best = [-0.00768573 -0.02517219  0.17056555], f_best = 7.193444847312595
rep = 21, x_best = [ 0.01553163  0.20403826 -0.01809246], f_best = 4.366687856438013
rep = 22, x_best = [ 0.18604073 -0.19072842  0.01807371], f_best = 4.062781774908373
rep = 23, x_best = [ 0.19851112  0.01233293 -0.38189014], f_best = 6.082006348758426
rep = 24, x_best = [ 0.02663284 -0.20205534  0.17435544], f_best = 7.759167653980356
rep = 25, x_best = [ 0.01764706  0.000649   -0.18660297], f_best = 2.881737945825776
rep = 26, x_best = [-0.02533546 -0.39209484  0.00785619], f_best = 7.519058169026955
rep = 27, x_best = [-0.20480719  0.00436315  0.0362723 ], f_best = 7.765531133320792
